Subject Index        Gender         Age        Handedness            Group

      S01             male          31        right-handed        experienced
      S02             male          29        right-handed        experienced
      S03             male          26        right-handed        experienced
      S04            female         25        right-handed        experienced 
      S05            female         26        right-handed        experienced
      S06             male          26        right-handed        experienced
      S07            female         28        right-handed        experienced
      S08            female         23        right-handed        experienced
      S09            female         31        right-handed           naive
      S10             male          25        right-handed           naive
      S11            female         18        right-handed           naive
      S12             male          21        right-handed           naive
      S13            female         17        right-handed           naive
      S14             male          18        right-handed           naive
      S15            female         19        right-handed           naive
      S16             male          18        right-handed           naive
      S17            female         20        right-handed           naive
      S18            female         27        right-handed           naive
      S19            female         19        right-handed           naive
      S20            female         24        right-handed           naive
      S21             male          18        right-handed           naive
      S22            female         19        right-handed           naive
      S23             male          34        right-handed           naive
      S24             male          17        right-handed           naive
      S25            female         18        right-handed           naive
      S26            female         20        right-handed           naive
      S27            female         17        right-handed           naive
      S28             male          19        right-handed           naive
      S29             male          18        right-handed           naive
      S30             male          20        right-handed           naive
      S31             male          23        right-handed           naive
      S32             male          19        right-handed           naive
      S33            female         20        right-handed           naive
      S34             male          18        right-handed           naive
      S35             male          20        right-handed           naive
